City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Georgetown,5.41,100.34,91.4,62,20,5.82,MY,few clouds,2020-08-24 06:19:08
1,Barrow,71.29,-156.79,39.2,93,90,8.05,US,mist,2020-08-24 06:19:08
2,Hermanus,-34.42,19.23,54.0,95,100,8.37,ZA,overcast clouds,2020-08-24 06:19:08
3,Pisco,-13.7,-76.22,61.0,87,90,12.75,PE,overcast clouds,2020-08-24 06:19:08
4,Kavaratti,10.57,72.64,86.0,70,20,9.17,IN,few clouds,2020-08-24 06:19:09
5,Dodge City,37.75,-100.02,73.4,56,1,11.41,US,clear sky,2020-08-24 06:18:16
6,Geraldton,-28.77,114.6,69.8,49,40,4.7,AU,scattered clouds,2020-08-24 06:16:26
7,Rikitea,-23.12,-134.97,71.58,83,9,18.92,PF,light rain,2020-08-24 06:19:10
8,Avarua,-21.21,-159.78,71.6,78,9,3.36,CK,clear sky,2020-08-24 06:16:07
9,Saint-Philippe,-21.36,55.77,77.0,57,37,6.93,RE,scattered clouds,2020-08-24 06:19:10
10,Sola,-13.88,167.55,81.45,82,37,9.24,VU,light rain,2020-08-24 06:19:11
11,Punta Arenas,-53.15,-70.92,33.8,69,16,18.34,CL,few clouds,2020-08-24 06:19:11
12,Sao Filipe,14.9,-24.5,78.78,86,80,12.46,CV,broken clouds,2020-08-24 06:19:11
13,Busselton,-33.65,115.33,64.99,43,10,4.97,AU,clear sky,2020-08-24 06:15:47
14,Hithadhoo,-0.6,73.08,83.14,76,98,10.54,MV,moderate rain,2020-08-24 06:19:12
15,Pevek,69.7,170.31,38.23,95,100,3.87,RU,light rain,2020-08-24 06:16:47
16,Victoria,22.29,114.16,95.0,59,0,8.01,HK,clear sky,2020-08-24 06:16:51
17,Kruisfontein,-34.0,24.73,55.99,94,100,1.01,ZA,light rain,2020-08-24 06:19:13
18,Aklavik,68.22,-135.01,64.4,68,40,4.7,CA,scattered clouds,2020-08-24 06:17:15
19,Bluff,-46.6,168.33,52.0,89,66,5.99,NZ,light rain,2020-08-24 06:19:13
20,Khatanga,71.97,102.5,70.07,40,97,15.32,RU,overcast clouds,2020-08-24 06:15:56
21,Kavieng,-2.57,150.8,78.1,83,100,7.63,PG,light rain,2020-08-24 06:19:14
22,Ushuaia,-54.8,-68.3,30.2,86,40,8.05,AR,scattered clouds,2020-08-24 06:15:46
23,Hobart,-42.88,147.33,50.0,61,40,10.29,AU,light intensity shower rain,2020-08-24 06:19:15
24,Chanute,37.68,-95.46,73.4,73,1,4.7,US,clear sky,2020-08-24 06:19:15
25,Carutapera,-1.2,-46.02,77.02,88,24,7.02,BR,few clouds,2020-08-24 06:19:15
26,Les Cayes,18.2,-73.75,80.55,85,100,13.27,HT,moderate rain,2020-08-24 06:19:16
27,Quijingue,-10.75,-39.21,65.73,96,67,3.49,BR,broken clouds,2020-08-24 06:19:16
28,New Norfolk,-42.78,147.06,50.0,77,84,3.0,AU,light rain,2020-08-24 06:19:17
29,Kapaa,22.08,-159.32,80.6,74,1,12.75,US,clear sky,2020-08-24 06:19:17
30,Mataura,-46.19,168.86,52.0,89,61,5.99,NZ,broken clouds,2020-08-24 06:19:19
31,Imbituba,-28.24,-48.67,57.2,100,75,1.12,BR,broken clouds,2020-08-24 06:19:19
32,Vestnes,62.63,7.09,48.2,76,75,23.04,NO,shower rain,2020-08-24 06:19:19
33,Constantine,36.37,6.61,64.4,93,20,4.7,DZ,few clouds,2020-08-24 06:19:19
34,Chokurdakh,70.63,147.92,38.46,75,100,10.49,RU,overcast clouds,2020-08-24 06:19:20
35,Lampazos De Naranjo,27.02,-100.52,82.99,50,45,10.92,MX,scattered clouds,2020-08-24 06:19:20
36,Cidreira,-30.18,-50.21,60.15,82,0,14.99,BR,clear sky,2020-08-24 06:15:53
